"","zeros","summed","prev act"
"2015-11-01",0,558.591931868036,736
"2015-12-01",0,558.591931868036,43
"2016-01-01",0,558.591931868036,124
"2016-02-01",0,558.591931868036,288
"2016-03-01",0,558.591931868036,143
"2016-04-01",0,558.591931868036,1210
"2016-05-01",0,558.591931868036,1566
"2016-06-01",0,558.591931868036,1161
"2016-07-01",0,558.591931868036,557
"2016-08-01",0,558.591931868036,36
"2016-09-01",0,558.591931868036,356
"2016-10-01",0,558.591931868036,751
"2016-11-01",0,558.591931868036,266
"2016-12-01",0,558.591931868036,3
"2017-01-01",0,558.591931868036,32
