Ean,Title,Author,Pub.Date,Month,Net.Units,Month,Gross.Units,Comp.Units,Return.Units,Prev.Ean
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200003,211,200003,211,1148,0,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200004,183,200004,203,87,20,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200005,221,200005,221,16,0,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200006,241,200006,241,22,0,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200007,652,200007,666,12,14,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200008,344,200008,408,14,64,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200009,12,200009,74,77,62,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200010,-26,200010,21,66,47,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200011,39,200011,112,65,73,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200012,230,200012,350,19,120,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200101,188,200101,289,23,101,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200102,-18,200102,2,59,20,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200103,-36,200103,23,94,59,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200104,-36,200104,5,148,41,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200105,5,200105,9,16,4,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200106,17,200106,55,20,38,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200107,123,200107,135,17,12,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200108,294,200108,310,8,16,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200109,255,200109,266,44,11,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200110,-2,200110,34,74,36,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200111,26,200111,44,49,18,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200112,490,200112,498,43,8,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200201,118,200201,141,14,23,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200202,-7,200202,18,35,25,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200203,-148,200203,10,53,158,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200204,-24,200204,13,36,37,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200205,-49,200205,12,59,61,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200206,-18,200206,18,22,36,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200207,297,200207,306,27,9,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200208,222,200208,247,12,25,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200209,242,200209,248,92,6,
9780312101442,WOMENS RIGHTS,"SKLAR, KATHRYN KISH",3/24/00,200210,-3,200210,29,107,32,
