"Author","Isbn","Ean","Title","Pub Date","Medium","Ans Code","Available","Consignment On Hand","Reserved Stock","Sets Made Up","Month","Gross Units  +  Comp Units","Return Units"
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201211,108,61
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201212,87,21
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201301,304,8
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201302,66,2
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201303,18,47
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201304,10,29
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201305,34,44
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201306,20,11
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201307,197,14
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201308,122,8
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201309,201,5
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201310,10,121
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201311,100,28
"JOYCE, JAMES","0312080735","9780312080730","DEAD CSCC",1993-12-15 12:00 AM,"PT","OS",83,0,0,17,201312,102,6
