"","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","three","six","nine","twelve","fifteen"
"0716756676",61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,61.6264060880501,185,370,555,740,924
"1319041086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319041957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319042406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319042430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319042465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319044239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319053416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319056911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131905692X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319056938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0312393555",49.3916251270199,-152.592187554566,-169.828710984023,-178.961707464331,-157.138739366789,-121.670924300143,339.199731902224,606.573775915599,131.247897739438,-161.223991747198,-36.2495629412596,605.352689816136,49.3916251270199,-152.592187554566,-169.828710984023,-273,-731,346,754,481
"031241501X",121.175935460542,-75.5474553858142,-68.0245585641419,-68.6144390516016,-78.6722831753518,-75.5308915772248,123.852632171628,374.236510114227,148.426130735763,-76.296774071323,-59.1638751762815,467.380272065484,121.175935460542,-75.5474553858142,-68.0245585641419,-22,-245,401,733,711
"0312442432",312.839810334593,150.083893916918,2.85441552192354,-10.03140188451,-11.364831624491,-6.06941572008343,56.8631105124285,177.986235051603,185.334722037933,37.3412727606232,-4.07200532495666,42.8743206208676,312.839810334593,150.083893916918,2.85441552192354,466,438,858,935,1400
"0312446497",37.0105917013281,-10.7353904776914,-9.69871348300305,7.13953935820687,11.4165969881422,52.6519905531423,202.854918491192,215.120230280102,93.0951278523354,-4.17524762016462,-3.30865930366294,109.032384444069,37.0105917013281,-10.7353904776914,-9.69871348300305,17,88,599,700,717
"0312457537",508.556928832088,286.083794548019,61.4431541938799,108.224855639947,36.0982599646054,76.4244255734187,280.120491189262,420.299766229472,548.902951513306,133.064025458261,50.5016550923475,128.395442264813,508.558317779467,286.084575886969,61.4433220046069,856,1077,2326,2638,3494
